creddebt,othdebt,default,homeown,address,cars,carvalue,edcat3,edcat4,edcat5,income
0.99892,2.84308,0,0,15,1,16.3,0,0,0,2.657931590812515
1.437072,0.9823265,0,1,21,2,20.3,1,0,0,2.772447904688752
2.073464,4.4213445,0,1,20,2,25.4,0,0,0,2.842736942103692
0.53704,0.9823265,0,0,13,3,18.6,0,0,0,2.673883628868984
0.3876075,2.143029,1,1,12,1,11.3,0,0,0,2.3206286159024154
0.42032,1.85168,0,1,14,4,16.8,1,0,0,2.6243162309641788
0.3876075,1.770944,1,0,0,3,11.3,0,0,0,2.2145185330389654
2.073464,4.4213445,0,1,33,1,33.9,0,1,0,3.3200738081569137
0.462378,1.658622,0,0,10,1,11.7,1,0,0,2.381023211425735
0.3876075,0.9823265,0,0,30,2,11.3,0,0,0,2.2523032588823373
0.3876075,1.7598,0,0,7,1,11.3,0,0,1,2.1299186755973434
2.073464,1.36152,0,0,27,2,32.6,0,0,0,2.964993841844477
0.3876075,0.9823265,1,0,7,2,11.3,0,0,0,2.287575489231605
0.3876075,0.9823265,0,1,37,1,11.3,0,0,0,1.8360113070546324
2.073464,4.4213445,0,1,33,4,33.9,0,0,0,3.569659002724904
2.073464,3.65148,0,1,10,1,18.8,0,0,0,2.673883628868984
1.15588,1.68412,1,1,1,3,11.3,0,1,0,2.351708521806686
0.64752,1.63248,0,1,4,2,14.6,1,0,0,2.5881508887538
0.3876075,0.9823265,0,0,7,1,13.6,0,0,0,2.408750132704112
0.3876075,0.9823265,0,1,38,3,11.3,0,1,0,2.173867546507328
0.3876075,4.4213445,0,1,17,1,18.8,0,0,0,2.7187175674665944
2.073464,4.4213445,1,1,28,1,33.9,0,1,0,3.898641257749651
0.428298,1.509702,0,1,9,3,11.3,0,0,0,2.3206286159024154
2.073464,4.4213445,1,0,15,2,18.9,0,1,0,2.831759586179901
0.3876075,0.9823265,0,1,8,6,14.2,0,0,0,2.641421570789816
0.843648,1.652352,0,1,19,2,13.6,0,0,0,2.46003030879136
2.073464,4.4213445,1,1,17,3,33.9,0,1,0,3.3586313119258304
1.50765,2.86235,0,0,25,3,33.9,1,0,0,3.1783607139418644
0.45396,1.48604,0,0,14,1,11.3,0,0,0,1.9080988606101053
0.558144,3.089856,1,0,10,2,21.4,0,0,0,2.7187175674665944
0.3876075,1.986678,0,1,4,4,18.7,0,0,0,2.704246861378462
1.314135,1.070865,0,1,13,2,23.0,1,0,0,2.8089624323150884
0.80925,0.9823265,1,1,7,3,11.3,0,1,0,2.48383059850252
2.073464,4.4213445,1,1,3,3,22.0,0,0,0,2.964993841844477
2.073464,1.36576,1,1,17,5,33.9,0,0,0,2.988894688880724
0.429715,0.9823265,0,0,27,1,11.3,0,0,1,2.08213820289468
1.443848,1.615152,0,1,1,4,13.3,1,0,0,2.435041821647632
2.073464,4.4213445,0,1,36,3,33.9,0,1,0,3.5169131518833465
1.33644,3.10356,1,0,4,2,13.3,0,0,0,2.46003030879136
2.073464,1.80708,0,0,29,2,20.6,1,0,0,2.704246861378462
0.671328,3.864672,0,0,3,1,25.9,0,0,0,2.9219351260234374
0.87024,0.9823265,0,1,35,1,11.3,0,0,0,2.173867546507328
0.97902,2.80098,0,0,44,3,33.9,0,0,1,3.306287587042396
2.073464,4.4213445,0,1,21,4,33.9,0,1,0,3.731820618021146
2.073464,4.4213445,0,1,47,2,33.9,0,0,1,3.0041125352652767
1.20246,1.73754,0,1,9,5,33.9,0,0,1,3.120680732210223
0.4158,1.3842,0,1,14,4,33.9,0,0,0,3.0467182124453904
1.504704,1.759296,1,1,9,2,11.3,0,0,0,2.46003030879136
0.3876075,0.9823265,0,1,20,2,11.3,0,0,0,1.9080988606101053
1.89405,4.4213445,0,1,4,1,17.7,0,0,0,2.8089624323150884
1.839656,3.256344,0,1,26,4,33.9,0,0,0,3.158333840277581
0.3876075,0.9823265,0,1,0,3,11.3,0,0,0,2.287575489231605
0.435344,0.9823265,0,1,22,1,11.8,1,0,0,2.435041821647632
0.3876075,0.9823265,0,0,2,1,11.3,0,1,0,2.351708521806686
0.3876075,0.9823265,0,0,46,4,11.3,0,0,0,2.08213820289468
0.3876075,2.33772,0,1,26,1,11.3,0,1,0,2.408750132704112
0.3876075,0.9823265,0,1,14,2,13.9,0,1,0,2.48383059850252
2.073464,3.042066,0,0,11,3,24.3,0,1,0,2.704246861378462
2.073464,4.4213445,1,0,36,2,29.0,0,1,0,3.0791686310061497
1.8753,4.4213445,1,1,6,3,24.1,1,0,0,2.673883628868984
1.246784,0.9823265,0,1,31,1,33.9,0,0,0,3.163435680457179
0.869952,3.546048,0,1,28,4,17.7,1,0,0,2.6243162309641788
2.073464,4.4213445,0,1,29,4,33.9,0,0,0,3.2020512912789725
0.3876075,2.43237,0,1,29,3,11.3,0,1,0,2.173867546507328
1.35432,2.40768,1,1,2,2,18.8,0,1,0,2.641421570789816
0.91596,1.12404,0,1,0,1,18.2,1,0,0,2.7463679525813456
2.073464,4.4213445,0,0,31,3,33.9,0,0,0,3.158333840277581
0.3876075,1.14336,1,0,1,2,11.3,0,0,0,1.8360113070546324
2.073464,4.4213445,1,1,4,1,14.7,0,1,0,2.5282575874854296
1.037205,0.9823265,0,1,21,3,11.3,1,0,0,2.5282575874854296
0.3876075,0.9823265,0,1,8,1,22.6,1,0,0,2.8639109822820368
1.44628,0.9823265,0,1,1,3,22.6,1,0,0,2.7187175674665944
2.073464,4.4213445,1,1,28,3,33.9,0,0,0,3.6793699323438167
0.3876075,0.9823265,0,0,32,2,11.3,1,0,0,2.1299186755973434
0.612808,1.123192,0,0,12,3,19.5,0,0,0,2.6065744664362365
1.92413,3.40587,0,1,7,3,31.2,0,1,0,2.996572017704461
0.3876075,2.61924,0,1,3,1,27.7,0,1,0,2.820505816466207
2.073464,4.4213445,0,1,25,1,33.9,0,0,1,3.309781614602576
0.60123,0.9823265,0,1,15,1,22.9,0,0,0,2.772447904688752
0.943488,2.800512,0,1,40,2,33.9,0,0,0,3.3646866072077444
1.068012,4.4213445,1,1,4,3,17.7,0,1,0,2.641421570789816
0.3876075,1.614544,0,1,20,1,16.2,0,0,0,2.7187175674665944
1.10112,0.9823265,0,1,48,3,11.3,0,0,0,2.0298559693409404
1.795472,4.4213445,0,0,33,1,33.9,0,0,0,3.163435680457179
0.9856,4.4213445,0,1,31,3,33.9,0,1,0,3.409845807658121
2.073464,4.4213445,1,1,14,3,33.9,0,1,0,3.183213706404368
1.079232,2.616768,0,1,23,3,33.9,0,1,0,3.2536727448749088
2.073464,3.155965,0,0,16,1,33.9,1,0,0,3.126279888486493
2.008448,4.4213445,1,1,1,1,12.1,1,0,0,2.506543444863037
2.073464,4.4213445,0,1,30,3,33.9,1,0,0,3.163435680457179
0.46284,0.9823265,0,0,0,1,11.3,0,0,0,2.3206286159024154
0.8239,1.1011,0,1,24,4,11.9,0,0,0,2.673883628868984
0.6732,0.9823265,0,1,24,2,33.9,0,0,1,3.0041125352652767
0.3876075,0.9823265,0,0,2,6,11.3,0,0,1,2.3206286159024154
1.92774,4.4213445,0,0,21,3,30.6,0,0,1,3.1479307227755298
1.586865,2.858135,0,0,5,4,14.0,0,0,0,2.673883628868984
1.90371,2.37429,0,1,6,7,18.9,0,1,0,2.820505816466207
0.3876075,1.482912,0,1,30,2,26.8,0,0,0,2.93089755856381
0.571428,0.9823265,1,1,1,2,12.5,1,0,0,2.5282575874854296
2.073464,3.822687,0,1,15,2,33.9,0,0,0,2.964993841844477
1.053888,1.058112,0,0,16,2,11.3,0,0,0,2.408750132704112
2.073464,4.27329,0,1,22,4,33.9,0,0,0,3.3300920970241816
0.3876075,0.9823265,0,0,38,2,11.3,0,0,0,2.351708521806686
0.557612,2.110388,0,1,19,2,23.2,1,0,0,2.820505816466207
1.168272,1.393728,0,1,32,5,24.5,0,0,0,2.772447904688752
0.3876075,1.61216,0,1,23,1,17.0,0,1,0,2.6243162309641788
0.3876075,0.9823265,1,0,4,2,11.3,0,0,0,2.287575489231605
1.596912,3.571088,0,1,16,4,13.9,0,1,0,2.657931590812515
2.073464,4.4213445,1,0,12,2,17.5,0,0,0,2.784949218215684
0.3876075,0.9823265,0,0,15,2,11.3,0,0,0,1.9722154322948249
1.490635,3.562365,1,1,4,1,11.3,0,1,0,2.6065744664362365
2.073464,4.4213445,0,1,33,4,33.9,0,0,0,3.401791988988754
1.073903,2.357097,0,1,25,1,23.3,0,0,0,2.831759586179901
0.3876075,0.9823265,0,0,13,1,16.3,0,0,0,2.6243162309641788
0.3876075,1.26665,0,0,8,2,15.4,0,0,0,2.831759586179901
2.073464,4.4213445,0,1,35,1,33.9,0,0,0,3.3586313119258304
0.601634,0.9823265,0,0,8,5,27.0,0,0,1,2.9396780889085123
1.09032,1.54968,1,1,4,4,11.3,0,0,0,2.351708521806686
2.073464,4.097274,1,0,12,2,26.8,0,1,0,2.93089755856381
2.073464,3.627078,0,1,22,2,29.7,0,0,0,3.0534149632565373
0.3876075,1.24576,1,0,1,1,20.4,1,0,0,2.7463679525813456
2.073464,4.4213445,0,1,9,2,33.9,0,0,1,3.131802584847892
1.348872,1.759128,0,0,26,3,11.3,0,0,0,2.381023211425735
0.456672,1.687328,0,0,15,1,15.6,0,0,0,2.6243162309641788
0.751168,4.4213445,0,0,15,3,33.9,0,1,0,2.988894688880724
1.574388,2.061612,1,1,5,2,11.3,0,1,0,2.287575489231605
0.486168,0.9823265,0,1,1,3,16.5,1,0,0,2.46003030879136
0.63126,3.14874,1,1,0,2,12.9,0,1,0,2.381023211425735
2.073464,4.4213445,0,0,8,2,33.9,1,0,0,3.603331684360238
0.3876075,0.9823265,1,1,4,2,11.3,0,0,1,2.7187175674665944
0.3876075,1.484145,0,0,47,2,11.3,1,0,0,2.08213820289468
1.684032,3.019968,0,0,12,4,33.9,0,0,0,2.8534502238266977
0.3876075,0.9823265,0,0,7,2,11.9,1,0,0,2.351708521806686
1.03626,0.9823265,1,0,7,2,11.3,1,0,0,2.287575489231605
0.3876075,0.9823265,0,0,12,3,11.3,0,0,0,2.2523032588823373
2.073464,4.4213445,1,1,15,1,33.9,0,0,0,2.964993841844477
0.643356,1.354644,1,0,0,4,11.3,0,0,0,2.287575489231605
0.724608,1.723392,0,1,9,1,18.1,0,0,0,2.657931590812515
0.8918,4.0082,0,1,6,3,12.1,0,0,0,2.48383059850252
0.3876075,0.9823265,0,1,6,2,11.3,0,1,0,2.173867546507328
1.451511,1.251489,0,0,27,4,32.9,0,0,0,2.8741300447498843
1.524536,4.039464,0,1,31,5,25.2,0,0,0,2.884117573346206
0.3876075,1.058442,0,0,27,3,11.3,1,0,0,2.1299186755973434
1.820444,1.465556,0,1,6,1,17.8,0,0,1,2.6065744664362365
2.073464,4.4213445,1,1,17,5,33.9,0,0,0,2.9810758698845845
1.09392,3.99408,1,1,15,3,16.3,1,0,0,2.6243162309641788
0.3876075,1.26772,0,1,17,3,11.3,1,0,0,1.9080988606101053
0.9768,1.4232,1,0,3,2,11.3,0,0,0,2.48383059850252
0.3876075,1.19187,0,0,17,1,11.3,0,0,0,2.173867546507328
1.1058,1.1742,0,0,10,4,28.2,1,0,0,2.956720021331736
0.3876075,0.9823265,0,0,8,1,19.1,0,0,0,2.657931590812515
0.3876075,0.9823265,0,1,39,5,24.6,1,0,0,2.831759586179901
0.86072,2.10728,1,1,9,2,11.5,0,0,0,2.549051568126432
0.3876075,0.9823265,0,0,23,1,17.0,0,0,0,2.5881508887538
0.7209,0.9823265,0,1,43,2,18.8,0,1,0,2.5881508887538
0.591072,4.4213445,0,1,32,5,19.1,0,1,0,2.842736942103692
0.62315,4.4213445,0,1,20,5,33.9,1,0,0,3.2156106593820404
0.3876075,2.750202,1,0,7,2,17.0,0,0,0,2.435041821647632
0.940405,0.9823265,1,1,9,2,11.3,0,0,0,2.3206286159024154
0.6012,0.9823265,0,0,16,3,19.5,0,0,0,2.5881508887538
1.435608,2.332392,1,1,2,2,18.1,0,0,0,2.46003030879136
0.721791,0.9823265,0,0,25,3,11.3,0,1,0,1.8360113070546324
0.3876075,0.9823265,0,0,24,2,11.3,0,0,0,1.8360113070546324
1.086512,0.9823265,0,1,0,4,11.3,0,0,0,2.2145185330389654
1.453869,1.057131,0,0,12,2,14.6,1,0,0,2.6065744664362365
0.3876075,0.9823265,0,1,24,1,11.3,0,0,0,2.3206286159024154
0.3876075,0.9823265,0,0,0,2,11.3,0,0,0,2.2523032588823373
2.073464,4.4213445,0,1,12,3,29.1,0,1,0,2.9219351260234374
0.854244,1.341756,1,1,2,1,11.3,0,1,0,2.287575489231605
2.073464,4.4213445,0,0,16,3,33.9,0,0,0,3.409845807658121
2.073464,4.4213445,0,1,12,4,33.9,1,0,0,3.5188726390158065
2.073464,4.4213445,1,1,19,4,33.9,1,0,0,3.4945998756812484
2.073464,4.4213445,0,1,24,3,33.9,0,1,0,3.306287587042396
2.073464,4.4213445,1,0,15,2,33.9,0,0,0,3.0115206977931366
2.073464,4.4213445,0,1,24,1,33.9,0,1,0,3.0791686310061497
2.073464,3.01678,0,1,19,2,33.9,0,0,1,3.109245011857629
0.3876075,1.039104,0,1,3,1,21.4,1,0,0,2.6243162309641788
2.073464,4.4213445,0,1,43,3,33.9,0,1,0,3.4329869820904726
1.082998,1.024002,1,1,6,2,18.2,0,0,0,2.784949218215684
0.852,1.148,0,0,21,2,23.9,0,0,0,2.8639109822820368
2.073464,4.4213445,0,0,14,2,28.1,0,1,0,3.183213706404368
0.794508,0.9823265,0,0,15,1,24.7,0,1,0,2.797115291190978
0.940324,0.9823265,0,0,15,1,24.3,1,0,0,2.784949218215684
0.690525,1.784475,1,1,5,2,25.6,0,1,0,2.8089624323150884
0.3876075,0.9823265,0,1,0,2,15.2,0,0,0,2.6243162309641788
0.3876075,0.9823265,0,1,8,1,27.0,0,0,0,2.7187175674665944
1.498032,4.4213445,0,0,17,2,33.9,0,1,0,3.20662330978206
0.713748,1.722252,1,0,8,2,11.3,0,1,0,2.381023211425735
0.602822,4.379178,0,0,38,4,32.2,0,0,0,2.831759586179901
1.639745,2.979255,0,1,26,2,14.2,0,1,0,2.6065744664362365
0.801414,1.952586,0,0,17,1,28.2,1,0,0,2.9034356629117
0.511275,0.9823265,0,1,7,3,11.3,1,0,0,2.2523032588823373
0.3876075,0.9823265,0,0,1,2,11.3,0,0,0,2.381023211425735
1.176136,3.295864,0,1,31,1,33.9,0,1,0,3.220028180478749
0.3876075,4.00686,0,0,18,4,32.5,0,0,0,3.085363236922936
0.3876075,2.160816,0,0,45,1,11.6,0,0,0,2.381023211425735
2.073464,4.4213445,0,1,31,4,33.9,0,0,0,3.425436605022044
1.532076,4.4213445,0,0,17,4,33.9,1,0,0,3.0259567506545086
0.495846,1.025154,0,1,51,3,11.3,1,0,0,2.08213820289468
0.994934,0.983066,1,1,0,2,13.0,0,0,0,2.435041821647632
0.3876075,1.75538,1,0,4,2,11.3,0,0,0,2.351708521806686
0.48972,1.35828,0,1,16,4,21.6,0,0,0,2.641421570789816
1.1712,3.7088,0,1,21,2,22.8,0,1,0,2.964993841844477
0.3876075,2.98849,0,1,4,5,14.5,0,0,1,2.704246861378462
0.69552,1.19448,0,1,5,4,13.5,1,0,0,2.673883628868984
0.3876075,1.25064,1,1,24,6,30.3,1,0,0,2.9034356629117
2.073464,2.47845,1,0,13,1,33.9,1,0,0,2.996572017704461
0.3876075,0.9823265,0,1,4,2,17.3,0,0,0,2.6243162309641788
2.073464,2.694216,0,1,36,2,32.2,0,0,1,2.9396780889085123
1.8018,1.3482,0,1,15,1,16.7,1,0,0,2.8089624323150884
2.073464,4.4213445,1,1,22,1,33.9,0,1,0,3.3524755144146017
2.073464,4.4213445,0,0,11,3,33.9,0,1,0,3.3586313119258304
2.073464,4.4213445,0,1,11,3,33.9,1,0,0,3.5089630804739183
1.9404,4.4213445,0,1,24,1,33.9,1,0,0,3.0329925585919573
0.3876075,0.9823265,0,0,17,1,21.5,1,0,0,2.9034356629117
0.57456,4.4213445,0,0,17,3,19.3,0,0,0,2.772447904688752
0.3876075,1.15515,1,1,1,3,11.3,1,0,0,2.173867546507328
0.50232,2.61768,0,0,34,3,33.9,0,1,0,3.3200738081569137
0.664332,3.337668,0,0,23,3,12.9,0,0,0,2.435041821647632
1.41,2.34,0,1,6,2,33.9,0,1,0,3.066492470991257
1.89552,3.38448,0,1,14,2,33.9,0,1,0,3.409845807658121
0.580944,0.9823265,0,0,28,1,11.3,0,0,1,2.3206286159024154
1.37214,1.59786,1,1,4,2,24.8,0,1,0,2.8089624323150884
0.742968,0.9823265,1,1,5,1,11.8,0,0,0,2.287575489231605
1.417944,1.288056,0,1,55,4,16.5,0,0,0,2.641421570789816
2.073464,0.9823265,1,1,8,2,31.2,0,1,0,2.973110644253181
2.073464,4.4213445,1,0,19,1,33.9,0,1,0,3.496688153920573
0.3876075,0.9823265,0,0,36,3,11.3,0,0,0,2.2523032588823373
0.3876075,0.9823265,0,1,38,1,11.3,0,0,0,2.351708521806686
0.3876075,1.624644,0,1,18,3,33.4,0,0,0,2.9810758698845845
2.073464,4.4213445,1,1,34,1,33.9,1,0,0,3.2956078637111004
1.837024,1.466976,0,1,29,2,14.9,1,0,0,2.549051568126432
0.3876075,0.9823265,1,1,1,3,11.5,0,0,0,2.408750132704112
0.437886,0.9823265,1,0,3,2,32.4,1,0,0,2.8938831177615123
0.45504,2.70496,0,1,15,2,16.5,1,0,0,2.7463679525813456
0.51072,4.4213445,0,0,14,5,33.9,0,0,0,3.3300920970241816
1.2331,2.9469,0,0,18,2,22.5,0,0,0,2.7187175674665944
0.3876075,2.558424,0,1,3,3,19.1,0,0,0,2.641421570789816
2.073464,4.4213445,1,1,13,5,33.8,0,0,0,2.884117573346206
2.073464,3.333,1,1,15,2,31.6,0,1,0,3.0041125352652767
2.073464,4.4213445,1,1,7,3,17.5,0,0,1,2.8089624323150884
2.073464,4.4213445,0,1,12,3,33.3,0,0,1,3.126279888486493
0.64548,1.33452,0,0,34,3,14.4,1,0,0,2.5881508887538
0.417248,1.470752,0,1,4,6,16.1,0,1,0,2.6243162309641788
2.073464,4.4213445,1,0,26,1,33.9,0,1,0,3.1479307227755298
0.3876075,0.9823265,0,1,2,2,13.6,0,1,0,2.3206286159024154
1.355292,1.848708,1,1,3,3,17.5,0,0,0,2.6893116971750457
2.068776,2.179224,0,1,40,3,33.9,0,0,0,3.2771136568201533
0.466944,1.581056,0,0,32,3,16.8,0,0,1,2.6243162309641788
2.073464,4.4213445,0,1,15,3,33.9,0,0,0,3.2616462153245807
0.571872,3.292128,0,0,19,3,27.3,1,0,0,2.9219351260234374
0.888624,1.487376,0,1,1,2,11.3,0,0,0,2.46003030879136
0.675584,2.236416,0,1,36,3,11.3,0,1,0,2.506543444863037
1.9557,1.7343,0,1,30,2,26.3,1,0,0,2.759593793940161
0.3876075,1.202211,0,0,29,1,11.3,0,0,1,1.8360113070546324
0.48645,0.9823265,0,1,8,2,11.3,0,0,0,2.48383059850252
1.14904,0.9823265,0,1,4,5,18.9,0,0,0,2.8938831177615123
0.8136,0.9864,0,1,17,2,11.3,0,0,0,2.0298559693409404
2.073464,4.4213445,0,0,8,4,33.9,0,0,1,3.0791686310061497
0.3876075,1.826843,0,1,32,3,19.8,0,0,0,2.831759586179901
1.323144,4.4213445,0,0,2,4,20.9,0,0,1,2.831759586179901
0.79398,1.18602,0,0,1,3,19.7,1,0,0,2.641421570789816
0.98175,4.4213445,0,1,15,3,33.9,0,0,1,3.0329925585919573
0.3876075,0.9823265,0,0,39,2,11.3,0,1,0,1.9722154322948249
0.3876075,1.626248,0,0,4,2,11.3,0,0,0,2.3206286159024154
2.073464,2.809285,0,1,24,2,32.3,1,0,0,3.1479307227755298
1.226935,4.178065,0,1,11,4,11.3,0,0,0,2.435041821647632
1.079568,4.4213445,0,1,40,3,23.2,0,1,0,2.9810758698845845
2.073464,2.638944,0,0,7,3,18.0,0,0,0,2.657931590812515
2.073464,4.4213445,0,0,19,2,33.9,0,0,0,3.018800752574748
0.3876075,0.9823265,0,1,4,5,13.5,0,0,0,2.5881508887538
1.769724,3.642276,0,1,6,3,15.4,0,1,0,2.641421570789816
0.706848,2.845152,0,1,10,2,33.9,0,0,1,3.183213706404368
1.23015,4.4213445,0,1,2,2,33.9,1,0,0,2.8639109822820368
2.073464,3.60064,0,1,23,3,33.9,0,0,0,3.1880079761019804
1.58004,4.4213445,0,1,20,5,33.9,1,0,0,3.1783607139418644
0.9174,1.2826,0,1,25,2,23.9,0,0,0,2.797115291190978
2.073464,4.4213445,0,1,35,4,33.9,0,0,0,2.996572017704461
0.3876075,2.46848,0,1,21,2,21.6,0,1,0,2.7187175674665944
0.3876075,1.456128,0,1,7,3,22.6,0,0,0,2.842736942103692
0.704352,2.079648,0,1,5,2,11.3,1,0,0,2.2145185330389654
0.3876075,0.9823265,0,0,44,2,11.3,0,0,0,2.2145185330389654
1.384416,1.237584,0,1,28,1,11.3,0,1,0,2.3206286159024154
1.161984,3.110016,0,0,14,1,11.3,0,1,0,2.46003030879136
0.3876075,1.619775,1,1,2,4,11.3,0,0,0,2.173867546507328
2.073464,4.4213445,0,1,18,1,33.9,0,1,0,3.232988582597971
2.073464,4.4213445,0,1,3,2,33.9,0,0,0,2.996572017704461
0.80376,1.23624,0,0,8,3,14.4,0,0,1,2.657931590812515
0.944125,1.130875,0,0,37,1,13.8,0,0,1,2.48383059850252
0.3876075,0.9823265,0,0,5,2,11.3,0,0,0,2.3206286159024154
1.19574,0.9823265,1,0,2,3,18.9,1,0,0,2.549051568126432
0.732645,1.454355,0,1,28,2,31.5,1,0,0,3.103404238756444
0.3876075,0.9823265,0,0,35,1,11.3,0,0,0,1.9080988606101053
0.50064,2.47936,0,0,1,4,11.3,0,1,0,2.351708521806686
1.35744,2.00256,0,1,22,2,33.9,0,0,0,3.097478579611526
0.8424,2.9016,0,1,9,2,11.3,0,1,0,2.46003030879136
1.213664,1.914336,1,1,12,1,15.0,0,0,0,2.435041821647632
0.3876075,0.9823265,0,0,0,2,11.3,0,0,0,2.3206286159024154
0.3876075,0.9823265,0,1,15,2,15.6,0,1,0,2.7463679525813456
0.3876075,0.9823265,1,1,2,2,11.3,1,0,0,2.381023211425735
2.073464,4.4213445,0,1,34,2,33.9,1,0,0,3.3586313119258304
