yrsempl,creddebt,othdebt,default,jobsat,homeown,address,cars,carvalue,2,3,4,5
4.0,1.837024,1.466976,0,3,1,29,2,14.9,0,1,0,0
2.0,0.3876075,0.9823265,1,1,1,1,3,11.5,1,0,0,0
2.0,0.437886,0.9823265,1,1,0,3,2,32.4,0,1,0,0
2.0,0.45504,2.70496,0,1,1,15,2,16.5,0,1,0,0
15.0,0.51072,4.4213445,0,5,0,14,5,33.9,0,0,0,0
11.0,1.2331,2.9469,0,2,0,18,2,22.5,1,0,0,0
4.0,0.3876075,2.558424,0,4,1,3,3,19.1,1,0,0,0
5.0,2.073464,4.4213445,1,3,1,13,5,33.8,1,0,0,0
2.0,2.073464,3.333,1,2,1,15,2,31.6,0,0,1,0
2.0,2.073464,4.4213445,1,1,1,7,3,17.5,0,0,0,1
10.0,2.073464,4.4213445,0,5,1,12,3,33.3,0,0,0,1
15.0,0.64548,1.33452,0,4,0,34,3,14.4,0,1,0,0
2.0,0.417248,1.470752,0,1,1,4,6,16.1,0,0,1,0
11.0,2.073464,4.4213445,1,5,0,26,1,33.9,0,0,1,0
2.0,0.3876075,0.9823265,0,1,1,2,2,13.6,0,0,1,0
4.0,1.355292,1.848708,1,3,1,3,3,17.5,1,0,0,0
15.0,2.068776,2.179224,0,5,1,40,3,33.9,1,0,0,0
15.0,0.466944,1.581056,0,2,0,32,3,16.8,0,0,0,1
13.0,2.073464,4.4213445,0,4,1,15,3,33.9,1,0,0,0
10.0,0.571872,3.292128,0,5,0,19,3,27.3,0,1,0,0
2.0,0.888624,1.487376,0,1,1,1,2,11.3,1,0,0,0
15.0,0.675584,2.236416,0,3,1,36,3,11.3,0,0,1,0
3.0,1.9557,1.7343,0,1,1,30,2,26.3,0,1,0,0
15.0,0.3876075,1.202211,0,4,0,29,1,11.3,0,0,0,1
2.0,0.48645,0.9823265,0,1,1,8,2,11.3,1,0,0,0
2.0,1.14904,0.9823265,0,2,1,4,5,18.9,1,0,0,0
4.0,0.8136,0.9864,0,1,1,17,2,11.3,0,0,0,0
4.0,2.073464,4.4213445,0,5,0,8,4,33.9,0,0,0,1
4.0,0.3876075,1.826843,0,1,1,32,3,19.8,1,0,0,0
10.0,1.323144,4.4213445,0,4,0,2,4,20.9,0,0,0,1
2.0,0.79398,1.18602,0,2,0,1,3,19.7,0,1,0,0
9.0,0.98175,4.4213445,0,5,1,15,3,33.9,0,0,0,1
2.0,0.3876075,0.9823265,0,3,0,39,2,11.3,0,0,1,0
2.0,0.3876075,1.626248,0,3,0,4,2,11.3,0,0,0,0
9.0,2.073464,2.809285,0,4,1,24,2,32.3,0,1,0,0
9.0,1.226935,4.178065,0,3,1,11,4,11.3,0,0,0,0
8.0,1.079568,4.4213445,0,5,1,40,3,23.2,0,0,1,0
10.0,2.073464,2.638944,0,1,0,7,3,18.0,0,0,0,0
9.0,2.073464,4.4213445,0,5,0,19,2,33.9,1,0,0,0
6.0,0.3876075,0.9823265,0,3,1,4,5,13.5,1,0,0,0
3.0,1.769724,3.642276,0,1,1,6,3,15.4,0,0,1,0
2.0,0.706848,2.845152,0,3,1,10,2,33.9,0,0,0,1
2.0,1.23015,4.4213445,0,3,1,2,2,33.9,0,1,0,0
15.0,2.073464,3.60064,0,5,1,23,3,33.9,1,0,0,0
15.0,1.58004,4.4213445,0,5,1,20,5,33.9,0,1,0,0
15.0,0.9174,1.2826,0,2,1,25,2,23.9,0,0,0,0
15.0,2.073464,4.4213445,0,2,1,35,4,33.9,0,0,0,0
6.0,0.3876075,2.46848,0,2,1,21,2,21.6,0,0,1,0
10.0,0.3876075,1.456128,0,3,1,7,3,22.6,1,0,0,0
3.0,0.704352,2.079648,0,1,1,5,2,11.3,0,1,0,0
15.0,0.3876075,0.9823265,0,4,0,44,2,11.3,1,0,0,0
15.0,1.384416,1.237584,0,4,1,28,1,11.3,0,0,1,0
4.0,1.161984,3.110016,0,2,0,14,1,11.3,0,0,1,0
2.0,0.3876075,1.619775,1,3,1,2,4,11.3,1,0,0,0
7.0,2.073464,4.4213445,0,2,1,18,1,33.9,0,0,1,0
15.0,2.073464,4.4213445,0,4,1,3,2,33.9,0,0,0,0
6.0,0.80376,1.23624,0,2,0,8,3,14.4,0,0,0,1
15.0,0.944125,1.130875,0,3,0,37,1,13.8,0,0,0,1
4.0,0.3876075,0.9823265,0,4,0,5,2,11.3,0,0,0,0
2.0,1.19574,0.9823265,1,1,0,2,3,18.9,0,1,0,0
11.0,0.732645,1.454355,0,2,1,28,2,31.5,0,1,0,0
2.0,0.3876075,0.9823265,0,2,0,35,1,11.3,0,0,0,0
2.0,0.50064,2.47936,0,2,0,1,4,11.3,0,0,1,0
12.0,1.35744,2.00256,0,4,1,22,2,33.9,1,0,0,0
4.0,0.8424,2.9016,0,3,1,9,2,11.3,0,0,1,0
2.0,1.213664,1.914336,1,4,1,12,1,15.0,0,0,0,0
3.0,0.3876075,0.9823265,0,2,0,0,2,11.3,0,0,0,0
13.0,0.3876075,0.9823265,0,3,1,15,2,15.6,0,0,1,0
2.0,0.3876075,0.9823265,1,2,1,2,2,11.3,0,1,0,0
9.0,2.073464,4.4213445,0,5,1,34,2,33.9,0,1,0,0
15.0,0.481344,0.990656,0,5,1,12,6,33.9,0,0,0,0
4.0,1.16145,1.50855,0,3,0,6,2,14.0,0,0,0,1
12.0,0.6048,1.0752,0,2,1,38,1,11.3,0,1,0,0
2.0,0.998324,1.574676,1,1,1,3,2,13.5,0,0,0,1
